gen,best,avg,worst,std,lin12,lag2,fork_rate,cell_survive,egl1_sens,notch_thresh
16,2.498723192457792,2.2647541706517185,1.406227153087696,0.19982472962036246,1.034,2.029,3.298,2.883,0.533,0.565
17,2.498723192457792,2.2961641395448438,1.5661976729266711,0.17163781286264573,1.073,2.262,3.287,2.873,0.688,0.597
18,2.4998088227873962,2.2980188815198304,1.4091675930304328,0.22775646390614782,1.08,2.45,3.442,2.973,0.813,0.66
19,2.551859572427551,2.360241067884013,1.7104950989389731,0.1749536142025534,1.088,2.526,3.518,3.107,0.565,0.628
20,2.5572751672531795,2.378079429651907,1.1250160286056272,0.2749206491457718,1.193,2.074,3.391,3.174,0.539,0.562
21,2.577554610431021,2.39717699412641,1.728390408717952,0.20715998101194694,1.207,2.419,3.702,3.534,0.499,0.481
22,2.6060548137706108,2.447588770421244,1.9082130549327156,0.16765681489203657,1.03,2.194,3.642,3.549,0.48,0.488
23,2.6408050532308063,2.4554007726369655,1.456291459356727,0.230184207677268,1.013,2.23,3.758,3.453,0.579,0.476
24,2.6416486511970056,2.491130419250636,1.7916736316809785,0.17599029186419812,0.995,2.171,3.649,3.554,0.635,0.484
25,2.699823780794395,2.4614831070595558,0.9088107398012455,0.2971393778323916,1.017,1.845,3.64,3.626,0.684,0.504
26,2.699823780794395,2.466385705794778,1.6835427048350258,0.2490074918033897,1.012,2.268,3.721,3.761,0.738,0.497
27,2.699823780794395,2.4500833407248344,0.8653887567640299,0.3283003611151081,0.988,2.123,4.035,3.52,0.827,0.445
28,2.723305277407783,2.4710803228338145,1.35683801782611,0.27346170800134945,0.983,2.229,3.684,3.883,0.746,0.465
29,2.7573547136900873,2.5532823363068373,2.1056474275275368,0.17284119440162143,1.039,1.637,3.765,3.726,1.037,0.426
30,2.7914106819443933,2.516350508405289,1.5318509212268774,0.2630387098360994,0.993,1.382,3.89,3.999,1.167,0.44
31,2.7914106819443933,2.61024342979239,1.9458424164954395,0.1859645498471997,1.22,1.471,3.668,4.138,1.267,0.471
32,2.7914106819443933,2.613869291354372,1.897129997711985,0.211960348233585,1.523,1.905,3.486,4.032,1.395,0.469
33,2.8500061179701586,2.62394309017028,1.8865668217719171,0.22565298027634775,1.693,1.833,3.434,4.17,1.514,0.479
34,2.855668884947717,2.635955618180258,1.050755132697169,0.29223780607679034,1.664,2.14,3.426,4.164,1.702,0.472
35,2.895940000106816,2.6229394686703755,1.729242541351701,0.2813737702693575,1.741,2.221,3.309,4.261,1.826,0.479
36,2.896748580899141,2.6650537385389415,1.9852038487181356,0.2446091118369703,1.789,2.534,3.547,4.29,1.838,0.423
