gen,best,avg,worst,std,lin12,lag2,fork_rate,cell_survive,egl1_sens,notch_thresh
35,3.3334134483894724,2.774787122578033,1.8272257468813604,0.2479099172545979,2.279,1.777,3.023,6.051,2.275,0.488
36,3.3334567026354542,2.8390072929356847,2.0278415700593238,0.2046780130433472,2.377,1.818,2.968,6.9,2.497,0.502
37,3.3756867939082316,2.8827263700314645,0.7847763402097219,0.4091045099486163,2.378,1.811,2.998,7.441,3.249,0.519
38,3.433576044290824,2.9531875790725906,1.4100106116033078,0.37622501954846704,2.121,1.629,2.971,7.885,3.826,0.503
39,3.460375323816647,3.02137994821211,1.9834978570411388,0.3719588692806119,2.2,1.578,2.97,8.561,4.575,0.529
40,3.749922548149152,3.1526577558075495,2.3102261134700526,0.3028313602751993,2.276,1.617,2.963,9.526,5.219,0.511
41,3.749922548149152,3.2617101371640205,1.8330089818623185,0.34547622864479743,2.256,1.648,3.127,9.936,6.11,0.521
42,3.749922548149152,3.3198274586745105,1.7035149909787144,0.384110313192796,2.374,1.691,3.034,10.0,6.709,0.523
43,3.8228996357173433,3.51920388110278,2.667691620539985,0.22503676388454677,2.463,1.759,3.051,9.973,8.131,0.52
44,3.8258051248716747,3.539133015254021,2.271886277306121,0.34429305654210984,2.495,1.847,2.9,9.961,8.915,0.509
45,3.8258051248716747,3.665311941243007,2.2273842371658685,0.2884411661354576,2.609,1.882,2.973,9.988,9.561,0.516
46,3.8270308768128314,3.670566081114394,0.0,0.5406185960029408,2.866,1.721,2.934,9.82,9.96,0.517
47,3.861503200125348,3.667505137505066,2.350548664131578,0.3269727283463093,2.797,1.738,2.934,9.953,9.801,0.548
48,3.868853271512054,3.6637637840265165,2.1709610750174226,0.39198245457768754,2.894,1.845,2.918,9.993,9.765,0.56
49,3.875016374904419,3.760443706190338,2.5689919576673588,0.24422134108907217,2.762,1.826,2.947,9.934,10.0,0.645
50,3.875016374904419,3.6953865713430205,0.0,0.57346292354269,2.785,1.856,2.878,9.82,10.0,0.774
51,3.8806150748333006,3.7588409315329883,2.5352040401854774,0.266047603150032,3.009,1.914,2.875,10.0,9.971,0.773
52,3.8806150748333006,3.648347003545142,0.0,0.7674705112873338,2.818,1.903,2.861,9.615,10.0,0.824
53,3.8832224634536447,3.8180365796279854,3.270175404738553,0.13247373278086752,2.87,1.942,2.809,9.994,10.0,0.815
54,3.8896011979299576,3.7969428723708165,2.7896274624801665,0.2249129001439955,2.868,1.878,2.872,10.0,9.944,0.939
55,3.8896011979299576,3.791768676614902,2.5057459399094686,0.2482154875444219,2.985,1.908,2.878,9.993,9.816,1.031
56,3.8931880608457803,3.7836160336679567,2.5186147644578485,0.2523796812610518,3.079,1.935,2.96,10.0,9.82,1.123
57,3.8980821660711973,3.7714035710699023,2.5073087323351375,0.27421066580994563,3.2,2.051,2.894,9.973,9.785,0.896
58,3.8980821660711973,3.75071078494077,1.4285626914273861,0.39014553638280997,3.314,2.019,2.846,9.964,9.679,0.834
59,3.8980821660711973,3.783248647110097,3.0218805265395,0.23356130049821108,3.371,2.015,2.796,9.997,9.952,0.84
60,3.8980821660711973,3.799354614142983,2.811122218506844,0.22464880488405684,3.491,2.008,2.895,9.965,9.952,0.968
61,3.8980821660711973,3.87707302454281,3.6939860795753026,0.040724095999789156,3.578,1.931,2.829,10.0,9.976,1.095
62,3.9007915686820085,3.7475416369718557,2.5210760191853043,0.3025147671643501,3.52,1.922,2.986,9.943,9.82,1.269
63,3.9007915686820085,3.8091289185173314,2.633915808530555,0.2314005489429186,3.632,1.919,2.863,9.924,9.993,1.378
64,4.656597842101951,3.728610608051454,0.0,0.6076758819721797,3.711,1.938,2.876,9.768,9.999,1.408
65,4.657222892893831,3.843551740590973,2.4001444781509083,0.29272756902308733,3.689,1.933,2.891,9.991,9.955,1.425
66,4.71080814931457,3.912084283256363,3.2583883580526476,0.26009527148739164,3.603,1.935,2.952,9.991,9.959,1.49
67,4.71080814931457,3.9417008367384185,3.1349891435270263,0.33696429178572296,3.778,1.95,3.097,9.974,9.933,1.532
68,4.71080814931457,4.052156899929995,3.149453625895804,0.3826972103571615,3.625,2.019,3.008,10.0,9.979,1.577
69,4.710972441900692,3.9628371464320242,0.6410952187844832,0.6826419314872607,3.414,2.232,2.996,9.799,9.982,1.571
70,4.762115827285022,4.012172540881591,0.0,0.8177176535754235,3.421,2.112,3.082,9.799,9.64,1.58
71,4.762115827285022,4.220050680413051,2.824520912651118,0.5053144352075054,3.365,2.06,2.949,9.952,10.0,1.605
72,4.762115827285022,4.3688110806304,2.863993700048408,0.4671453792324346,3.22,1.925,2.924,9.932,10.0,1.58
73,4.762115827285022,4.435845260002917,3.6869640169929796,0.4038865209587127,3.182,1.956,3.018,10.0,9.939,1.612
74,4.765397859733687,4.511361177130182,3.092705759530601,0.39655055670422584,3.179,1.991,2.857,10.0,9.906,1.732
75,4.765397859733687,4.546367799686529,3.442464881351329,0.33749422703200005,3.116,2.096,2.911,9.917,9.806,1.735
76,4.765397859733687,4.579354194581911,3.313358332713667,0.35523523749764674,3.165,2.108,2.768,9.97,9.89,1.783
77,4.765397859733687,4.587808689187057,3.652013353845618,0.33865818538389325,3.15,2.122,2.747,9.968,9.881,1.836
78,4.7665444807806185,4.652502995056376,3.393812325625919,0.2965325019556059,3.177,2.172,2.729,10.0,9.689,1.836
79,4.7665444807806185,4.40878663328657,0.676721695010623,0.6718059004970152,3.156,2.277,2.84,9.772,9.929,1.836
80,4.768296242410175,4.366946769649838,0.6759014669451529,0.7458355553325078,3.164,2.315,3.008,9.82,9.61,1.803
81,4.769780704687074,4.597818610743612,3.405680364750631,0.3627355853117844,3.157,2.208,2.702,10.0,9.809,1.798
82,4.769780704687074,4.590498037922037,3.641799254810249,0.3438127058365841,3.098,2.206,2.782,9.952,10.0,1.823
83,4.770129188865251,4.465358563357285,2.9764015518522213,0.4852059749848157,3.043,2.182,2.855,9.974,9.82,1.824
84,4.770129188865251,4.406604073139215,0.6728136068589887,0.6793410948384971,3.139,2.189,2.838,9.723,9.999,1.81
85,4.770335965117637,4.470423798792215,0.6778826010947543,0.710196197780451,3.141,2.179,2.976,9.716,9.966,1.846
86,4.773488291003478,4.466701225965099,1.778356580575609,0.6260832560118309,3.172,2.177,2.96,9.856,9.945,1.871
87,4.773488291003478,4.293266974473802,0.0,0.9541437332343194,3.157,2.197,2.937,9.758,9.86,2.023
88,4.7738965564220255,4.563273742022154,2.6735990310022135,0.4510661689942857,3.293,2.207,3.026,9.924,9.907,1.689
89,4.777387764557111,4.449443208080915,1.8692338428902242,0.5990499683162049,3.266,2.179,2.891,9.961,9.64,1.753
90,4.77784902622494,4.545266922946095,3.40645600051627,0.4142804788570058,3.148,2.179,2.867,9.981,9.609,1.812
91,4.782731613780076,4.494136113714446,0.1478747466427699,0.743314512090067,3.165,2.164,2.827,9.739,9.999,1.865
92,4.782731613780076,4.471228758454731,3.2313995090348757,0.4732903181573648,3.4,2.179,2.722,9.982,9.999,1.894
93,4.788261016474659,4.560683659227537,3.401129780570553,0.3691742049874419,3.152,2.186,2.822,9.941,10.0,1.904
94,4.788261016474659,4.414323742575764,0.0,0.7463747213530094,3.152,2.189,2.775,9.82,9.82,1.9
95,4.788261016474659,4.504302179478334,3.035069584618377,0.4507658166556554,3.279,2.271,2.941,9.979,9.962,1.921
96,4.788261016474659,4.481374368298517,2.850296951466879,0.5265004632085698,3.172,2.198,3.217,9.979,9.82,2.045
97,4.788261016474659,4.469298859409617,2.737560619611756,0.5112982544055099,3.187,2.159,3.049,9.883,9.997,1.981
98,4.788261016474659,4.559921673946601,3.345608190766779,0.39249426357773065,3.162,2.193,2.774,10.0,9.984,1.896
99,4.788326550361778,4.558638639780958,3.2973737589856853,0.42640409600332957,3.169,2.22,2.739,10.0,9.972,1.802
