gen,best,avg,worst,std,lin12,lag2,fork_rate,cell_survive,egl1_sens,notch_thresh
70,2.9596198584307474,2.8188778696965704,1.3917942098215677,0.28079064421821254,0.144,0.217,4.013,3.967,1.403,0.567
71,2.9599179032522427,2.720967277036065,1.9372344184267338,0.3010729520301207,0.126,0.234,4.21,3.869,1.415,0.563
72,2.96262200397596,2.7176181722489843,1.7923905841963745,0.34465342126243564,0.123,0.237,4.074,4.315,1.518,0.547
73,2.976261163309014,2.7256176882677874,1.116362497898519,0.36096621866260015,0.129,0.245,3.898,4.461,1.472,0.519
74,2.97672297424816,2.690878209979455,1.6526769763427311,0.3671321955932667,0.118,0.245,3.922,4.026,1.554,0.52
75,2.979219141293588,2.706166491359645,1.7639057115280292,0.38951237534066924,0.118,0.229,4.06,4.107,1.518,0.562
76,2.979219141293588,2.7967848016448986,1.460746491604037,0.3455471466558748,0.133,0.235,3.973,4.0,1.468,0.553
77,2.979496651787161,2.7795927111372745,1.562839518789188,0.33577632432785476,0.134,0.297,3.732,4.047,1.49,0.578
78,2.9799143923724003,2.774366286948589,1.4565196600490018,0.3574428142521055,0.118,0.248,3.829,4.035,1.461,0.547
79,2.9799143923724003,2.7348833070543503,1.2418245562557573,0.37033531994392377,0.129,0.217,4.019,4.062,1.456,0.606
80,2.9803137770915162,2.738867380139926,1.570366660517937,0.36113997996653774,0.131,0.21,3.665,4.034,1.52,0.589
81,2.9832582166518464,2.7510644513790634,1.5348872819217902,0.3225837208932063,0.123,0.229,3.851,3.898,1.485,0.62
82,2.9832582166518464,2.654552761072111,1.5363592407382605,0.45805967344101306,0.12,0.29,4.199,3.96,1.451,0.622
83,2.983342194709541,2.6965408597271803,1.779785628568186,0.36138922911636157,0.111,0.227,3.835,4.096,1.464,0.569
84,2.983342194709541,2.6285309465818987,0.8759977555129752,0.4799056390554291,0.112,0.179,4.01,4.112,1.507,0.548
85,2.983342194709541,2.6543726029526606,1.0631153407490674,0.4685354468212186,0.11,0.167,4.056,4.028,1.714,0.535
86,2.984583642685413,2.7081065938866975,1.4692660002369267,0.3959674118643424,0.108,0.145,3.76,4.047,1.462,0.537
87,2.984583642685413,2.80724945995599,1.8024619795538814,0.2477286745597815,0.113,0.137,3.631,4.287,1.431,0.549
88,2.984583642685413,2.691875453912008,1.5256967487913298,0.41068492475326657,0.116,0.119,3.509,4.089,1.42,0.541
89,2.984583642685413,2.7379351873402724,1.5906096166707842,0.3496781121414315,0.127,0.125,3.387,4.065,1.498,0.526
90,2.984583642685413,2.7510849524156216,1.5011842932524189,0.347211128075274,0.123,0.121,3.478,3.947,1.532,0.553
91,2.9847795455128225,2.619700159675632,0.8341221675230843,0.44000792536551786,0.146,0.142,3.311,4.127,1.44,0.533
92,2.985310012523711,2.670260640611528,1.2591380663568432,0.4356830185788914,0.15,0.116,3.003,3.752,1.366,0.543
93,2.985310012523711,2.74732132384152,1.5323407059951792,0.350272998402336,0.121,0.11,3.19,3.98,1.407,0.534
94,2.985310012523711,2.684293963291499,0.7904307144373663,0.4425042014703573,0.119,0.115,3.37,4.123,1.544,0.49
95,2.985310012523711,2.7899087063015147,1.8160351937986654,0.30507148836854886,0.144,0.126,2.901,4.178,1.494,0.537
96,2.985310012523711,2.8494660042864712,2.0997428379346523,0.17682496792470453,0.135,0.146,2.755,3.971,1.464,0.534
97,2.985310012523711,2.8322046508676864,1.5940444934076268,0.28211935854469805,0.136,0.158,2.964,4.158,1.475,0.484
98,2.9856345546826346,2.6740514834589266,1.4063497065315482,0.4322486493617136,0.119,0.117,2.829,4.017,1.465,0.486
99,2.9856345546826346,2.725259843371681,1.2955004690201914,0.39802868757525434,0.117,0.131,3.192,4.025,1.481,0.556
