gen,fork_accuracy_mean,fork_accuracy_median,fork_accuracy_std,fork_rate_mean,fork_rate_median,fork_rate_std,lag2_expr_rate_mean,lag2_expr_rate_median,lag2_expr_rate_std,lateral_inhibition_strength_mean,lateral_inhibition_strength_median,lateral_inhibition_strength_std,lin12_expr_rate_mean,lin12_expr_rate_median,lin12_expr_rate_std,memory_stability_mean,memory_stability_median,memory_stability_std,notch_sensitivity_mean,notch_sensitivity_median,notch_sensitivity_std,notch_threshold_mean,notch_threshold_median,notch_threshold_std,timer_speed_mean,timer_speed_median,timer_speed_std
50,0.174,0.0987,0.2745,1.5143,1.308,1.0275,0.9319,0.9725,0.3014,1.2114,0.948,0.9711,1.0489,0.9857,0.3658,1.5675,1.4318,0.9843,0.7828,0.9819,0.5504,4.0236,5.1675,1.9901,0.3237,0.0613,1.0136
55,0.1213,0.0779,0.1198,1.0488,1.0924,1.0125,0.9166,0.927,0.2505,0.9384,1.0128,0.2372,0.8607,0.9244,0.3775,0.7394,0.1323,0.9646,0.7303,0.8854,0.5318,4.0644,5.1675,2.212,0.5892,0.0756,1.3254
60,0.1783,0.0763,0.1577,1.3054,0.6991,1.6482,1.0167,0.927,0.4248,0.9514,0.9688,0.1421,0.9657,1.0416,0.5169,0.3457,0.1173,0.6015,0.6148,0.8854,0.4469,4.9444,5.1773,3.0924,0.5169,0.0746,1.2629
65,0.1331,0.0451,0.1662,2.6503,4.2834,2.105,0.8832,0.9407,0.3459,0.9034,0.8558,0.2748,0.8381,0.9145,0.3521,0.2412,0.1381,0.1729,0.4425,0.0458,0.4806,4.136,5.1316,2.3424,0.4058,0.0476,1.1603
70,0.1212,0.0174,0.1633,2.3004,0.7378,2.086,0.8479,0.8896,0.3846,1.0485,1.04,0.2684,0.8944,0.976,0.4454,0.4106,0.352,0.3164,0.8422,0.9819,0.5171,5.5277,5.2125,2.5124,0.5893,0.0384,1.3398
75,0.0241,0.0179,0.0391,1.2199,0.7052,1.4088,0.9198,0.9077,0.3195,1.0052,1.0584,0.1927,0.854,0.9597,0.2529,0.3059,0.3046,0.2218,0.6549,0.9819,0.5406,7.5547,9.715,2.5746,1.2554,0.0696,1.7453
80,0.0201,0.0198,0.0085,0.4027,0.4442,0.3208,0.9699,0.9788,0.1793,1.1512,1.0615,0.5316,0.9903,1.0635,0.1967,0.2789,0.3046,0.2248,0.5559,0.7076,0.5679,7.1702,9.715,3.4603,1.3628,0.0934,1.7838
85,0.0202,0.0198,0.0072,0.4361,0.5235,0.2998,0.9376,1.0014,0.3055,1.0822,0.9978,0.3749,1.0545,1.0041,0.3332,0.2274,0.3046,0.1513,0.4961,0.0661,0.4938,9.106,9.7246,1.7938,1.8959,0.4265,2.5213
90,0.019,0.0198,0.0029,0.7171,0.6926,0.6554,0.9961,0.9854,0.4459,0.9163,0.9707,0.3557,1.0249,1.0041,0.3541,0.2395,0.2854,0.1807,0.6606,0.9819,0.4616,7.5448,8.4077,2.5471,1.5149,0.235,1.9612
95,0.0213,0.0195,0.0118,0.8404,0.6443,0.7052,0.9324,0.9885,0.2632,0.9823,0.9707,0.5319,1.0136,1.0041,0.345,0.3058,0.3046,0.2878,0.7025,0.9811,0.7231,5.7592,8.3245,4.1274,1.1718,0.1682,1.9406
