gen,fork_accuracy_mean,fork_accuracy_median,fork_accuracy_std,fork_rate_mean,fork_rate_median,fork_rate_std,lag2_expr_rate_mean,lag2_expr_rate_median,lag2_expr_rate_std,lateral_inhibition_strength_mean,lateral_inhibition_strength_median,lateral_inhibition_strength_std,lin12_expr_rate_mean,lin12_expr_rate_median,lin12_expr_rate_std,memory_stability_mean,memory_stability_median,memory_stability_std,notch_sensitivity_mean,notch_sensitivity_median,notch_sensitivity_std,notch_threshold_mean,notch_threshold_median,notch_threshold_std,timer_speed_mean,timer_speed_median,timer_speed_std
50,0.7807,0.6649,0.3515,2.387,2.2468,1.4909,0.9344,1.1183,0.3733,1.0334,0.9925,0.1426,0.641,0.8951,0.6189,0.6818,0.5655,0.3251,1.0148,1.0331,0.2546,0.5393,0.1732,0.8663,0.1747,0.0139,0.3508
55,1.1036,0.8491,0.8515,3.2695,2.4553,2.6883,1.01,1.1183,0.5088,0.9508,0.9925,0.2781,0.6066,0.8143,0.6078,0.7665,0.7693,0.4984,0.863,0.9166,0.4977,0.6275,0.4168,0.6587,0.0412,0.0127,0.0579
60,0.7708,0.8112,0.4436,5.5703,6.7404,3.2045,0.918,1.093,0.4029,0.9449,0.9925,0.227,0.6856,0.8951,0.5994,0.7947,0.8724,0.3406,0.9829,1.0186,0.4107,0.5361,0.4168,0.4805,0.0302,0.0142,0.0368
65,0.3771,0.1751,0.4109,5.4195,6.7222,2.8075,1.1239,1.093,0.4697,1.0381,0.9925,0.4239,0.7158,0.8951,0.4866,0.789,0.7231,0.4851,0.9817,1.0186,0.2998,0.4149,0.1609,0.5013,0.0303,0.0144,0.0354
70,0.4236,0.0653,0.5762,5.2849,6.7404,2.9561,0.9077,0.9662,0.2735,0.9928,0.9925,0.1544,0.5153,0.8449,0.4835,0.4553,0.3896,0.3995,0.8835,0.9946,0.2941,0.4017,0.4785,0.3484,0.0447,0.031,0.0458
75,0.3388,0.0637,0.3624,6.1746,7.6983,2.8896,0.9366,1.0134,0.2249,1.115,0.9925,0.5033,0.4508,0.0502,0.4988,0.5029,0.4957,0.3996,0.931,0.9946,0.2666,0.2833,0.1401,0.2042,0.0746,0.0405,0.0852
80,0.2941,0.0637,0.5126,6.4762,7.6531,2.1288,1.0531,1.0134,0.3747,1.0564,1.046,0.169,0.667,0.944,0.6026,0.8962,0.8774,0.7177,1.0108,0.9946,0.5011,0.219,0.1089,0.2377,0.0196,0.0108,0.0472
85,1.4424,0.3658,2.2598,6.8948,7.6459,1.8492,0.899,0.9999,0.2497,1.2005,1.046,0.6022,0.7238,0.9835,0.5624,1.0363,1.1967,0.8515,0.9872,1.0456,0.2445,0.3485,0.1518,0.4492,0.0136,0.0108,0.0075
90,3.6877,2.3183,3.4647,7.5139,7.773,2.2999,0.9537,0.9999,0.1432,1.1421,1.2043,0.3712,0.7021,0.9835,0.5513,0.5829,0.067,0.6535,1.0102,1.0456,0.3032,0.1008,0.1089,0.0641,0.0121,0.0101,0.0051
95,2.0726,0.2338,2.8482,6.6976,7.6983,2.303,1.0549,1.0168,0.2012,1.3575,1.046,0.7471,0.5996,0.8612,0.4454,0.4556,0.0546,0.5444,0.812,1.0456,0.5635,0.142,0.1323,0.1318,0.0142,0.0105,0.0076
